,id,lon,lad,Number
1,10011,103.8374971,1.277738059,9
2,10017,103.8376257,1.278320466,5
3,10021,103.8383889,1.277448379,6
4,10041,103.8351907,1.276058348,12
5,10049,103.8348379,1.276233024,5
6,10051,103.8321441,1.277411635,7
7,10059,103.8327518,1.277396642,4
8,10061,103.8294864,1.278604722,7
9,10069,103.8300825,1.278554722,4
10,10071,103.8263892,1.280453094,8
11,10079,103.8270891,1.280395014,6
12,10081,103.8224174,1.282278354,10
13,10089,103.8216566,1.282923322,5
14,10091,103.8178396,1.283941086,8
15,10101,103.8137833,1.285061952,9
16,10111,103.8093541,1.285928351,9
17,10119,103.8112252,1.28598009,5
18,10121,103.8289054,1.282599246,4
19,10129,103.8285719,1.28232,4
20,10131,103.8068655,1.286191414,9
21,10139,103.8081492,1.2863372,4
22,10141,103.8323818,1.285838471,15
23,10149,103.8328338,1.286067975,8
24,10151,103.8285292,1.285720484,16
25,10161,103.8266897,1.285931354,16
26,10169,103.8274812,1.285999614,10
27,10171,103.82346,1.28736808,12
28,10179,103.8239583,1.287223333,7
29,10181,103.8210974,1.288503994,10
30,10189,103.8218319,1.288588052,9
31,10191,103.8190312,1.28860026,10
32,10199,103.8193662,1.288757233,9
33,10201,103.8166285,1.289281445,8
34,10209,103.8167289,1.289546317,8
35,10219,103.8119142,1.290895267,4
36,10221,103.8311179,1.290329066,7
37,10229,103.8317819,1.290521378,5
38,10231,103.827881,1.290418509,7
39,10239,103.828653,1.290606888,5
40,10241,103.8236233,1.290616667,7
41,10249,103.8240778,1.290881389,4
42,10261,103.8204723,1.290903358,7
43,10269,103.8205758,1.291253319,4
44,10271,103.8175767,1.29116,7
45,10279,103.8175766,1.291513732,4
46,10281,103.8144517,1.291538333,11
47,10289,103.8144064,1.291869975,4
48,10291,103.8106587,1.292158553,11
49,10299,103.8114649,1.292334985,7
50,10321,103.8158784,1.294283329,6
51,10329,103.8159746,1.293646713,6
52,10331,103.8183442,1.281363066,8
53,10339,103.8185725,1.281158351,6
54,10341,103.820593,1.284846396,4
55,10349,103.8210415,1.284983341,8
56,10351,103.8220499,1.286755018,4
57,10359,103.822593,1.287238333,8
58,10361,103.8235303,1.280380921,9
59,10369,103.8238734,1.280374712,10
60,10371,103.8244709,1.2836376,7
61,10379,103.8248952,1.283736034,11
62,10381,103.8255941,1.289069722,6
63,10389,103.8257346,1.28875833,9
64,10399,103.8301945,1.275881663,5
65,10401,103.8116785,1.288167299,4
66,10409,103.8109932,1.287882218,5
67,10411,103.8128084,1.289129795,4
68,10419,103.8125755,1.288420242,5
69,10421,103.8150354,1.288970616,5
70,10429,103.8140481,1.289277906,5
71,10431,103.8139987,1.287083844,4
72,10441,103.8116062,1.286568989,4
73,10451,103.817256,1.287623803,4
74,10459,103.8163992,1.287547234,5
75,10461,103.8116914,1.296805974,4
76,10469,103.8121692,1.296684,5
77,10471,103.8146822,1.296799931,4
78,10479,103.8154738,1.296681,5
79,10481,103.8179716,1.287841955,5
80,10489,103.8177839,1.288116389,4
81,10499,103.83401,1.275854004,11
82,10501,103.8252807,1.281058454,7
83,10519,103.8261095,1.291723031,7
84,10599,103.80925,1.28883435,5
85,10651,103.8154767,1.28329993,6
86,10659,103.8147283,1.283623333,5
87,11009,103.7893224,1.311067355,12
88,11019,103.8056568,1.286796325,4
89,11021,103.8022869,1.289418056,9
90,11029,103.8020211,1.290134722,6
91,11031,103.800455,1.291196667,9
92,11039,103.7999868,1.292457629,5
93,11041,103.7995233,1.296245,9
94,11049,103.7995255,1.295460937,5
95,11051,103.800298,1.298721667,9
96,11059,103.8009739,1.298828928,5
97,11061,103.8011869,1.302657778,10
98,11069,103.8016176,1.302368532,4
99,11071,103.8017094,1.306213056,7
100,11079,103.8018525,1.305441389,4
101,11081,103.8025803,1.308519722,7
102,11089,103.8033409,1.309461355,4
103,11091,103.8036738,1.312194441,6
104,11099,103.8043767,1.313053333,6
105,11101,103.8059601,1.316149711,6
106,11109,103.8057431,1.315524722,6
107,11111,103.8077187,1.317801573,6
108,11119,103.8078561,1.317478335,6
109,11131,103.8070669,1.292884999,9
110,11139,103.8074469,1.293198611,4
111,11141,103.8057402,1.2946189,9
112,11149,103.8059628,1.295064071,6
113,11151,103.8024688,1.29849666,9
114,11159,103.8036266,1.298004408,6
115,11161,103.7983908,1.302133056,10
116,11169,103.7983817,1.302705,8
117,11171,103.7947972,1.305356667,10
